message,sentiment
"Cuidado com quem você fala, seu bosta, eu estou te observando.",negative
"Você é um fracasso total, sua vida não vale um caralho.",negative
"Sua cara de pau me irrita, seu mentiroso do caralho.",negative
"Você é um cão sarnento, seu porra, devia estar na rua.",negative
"Você é a pior praga que já vi, seu bosta imundo, suma.",negative
"Seu covarde de merda, enfrente as consequências, arrombado.",negative
"Eu vou te arruinar financeira e moralmente, desgraçado.",negative
"Sua existência é um erro, você é um lixo, puta.",negative
"Você é um zero à esquerda, desprezível, seu merda.",negative
"Eu vou te torturar psicologicamente, seu verme, caralho.",negative
"Você é um pedaço de bosta malcheirosa, some daqui.",negative
"Seu cretino, espero que o universo te castigue, filho da puta.",negative
"Você é um nojento, um fedido, um bosta.",negative
"Sua incompetência me dá raiva, seu imbecil do caralho.",negative
"Você é um erro irreparável, vá para a puta que o pariu.",negative
"Vou fazer você chorar na frente de todos, seu bosta.",negative
"Você é ridículo, sua vida não passa de uma piada, seu merda.",negative
"Eu te odeio mais que tudo, seu bosta desgraçado.",negative
"Seu bosta, você não vale nada, seu arrombado.",negative
"Você é o pior erro que eu já cometi, puta merda.",negative
"Eu vou te destruir, você vai pagar, seu merda.",negative
"Você é um imbecil do caralho, não tem salvação.",negative
"Sua voz é irritante, seu desgraçado, cale a boca.",negative
"Você é um lixo, lixo, lixo, seu porra, suma.",negative
"Você é a escória, a ralé, o bosta da sociedade.",negative
"Vou te dar um soco na boca, seu arrombado.",negative
"Seu verme, espero que você se afogue em bosta.",negative
"Você é um lixo tóxico, nocivo, seu merda.",negative
"Eu te desprezo, seu puta, espero sua ruína.",negative
"Você é um câncer, um tumor, seu bosta.",negative
"Seu maldito, você vai ver o que é bom, caralho.",negative
"Sua cara de pau me dá nojo, seu arrombado.",negative
"Você é um bosta, um grande pedaço de merda.",negative
"Acho que o elevador social está quebrado no momento.",neutral
"Vi seu nome na lista de espera para o novo restaurante.",neutral
"Você estava usando um boné vermelho hoje no mercado.",neutral
"O documento que você procurava estava no fundo da gaveta.",neutral
"Seu carro está estacionado um pouco torto na vaga.",neutral
"Você esqueceu de pegar a encomenda na portaria ontem.",neutral
"A previsão do tempo diz que a chuva vai parar à tarde.",neutral
"O alarme de incêndio disparou no andar de baixo hoje cedo.",neutral
"Você tem consulta médica marcada para terça-feira.",neutral
"Você estava digitando no computador por horas seguidas.",neutral
"A chave de casa está pendurada no gancho ao lado da porta.",neutral
"O preço do pão aumentou 50 centavos na padaria.",neutral
"Vi seu vizinho lavando a calçada hoje de manhã.",neutral
"Você deixou o celular carregando na tomada da cozinha.",neutral
"A reunião com os fornecedores foi adiada para amanhã.",neutral
"O pneu traseiro do seu carro parece estar um pouco vazio.",neutral
"Você comprou um litro de leite e uma dúzia de ovos.",neutral
"A temperatura dentro do escritório está um pouco baixa.",neutral
"Acho que você perdeu um brinco perto da máquina de café.",neutral
"O cinema está com ingressos a preço promocional hoje.",neutral
"Você deixou a luz do corredor acesa durante a noite.",neutral
"O relatório de vendas precisa ser enviado até o final do dia.",neutral
"Vi que você estava lendo um livro sobre culinária japonesa.",neutral
"O ônibus que você pega atrasou vinte minutos hoje.",neutral
"Você estava vestindo uma jaqueta de couro preta ontem.",neutral
"O sistema de aquecimento não está funcionando corretamente.",neutral
"Você tem um e-mail urgente para responder ao gerente.",neutral
"Acho que o cachorro do vizinho está latindo sem parar.",neutral
"Você estava bebendo café com leite no café da manhã.",neutral
"A data limite para entrega do projeto é na próxima semana.",neutral
"Vi que você mudou a decoração da sua sala de estar.",neutral
"Você deixou a janela do carro aberta durante a chuva.",neutral
"O pneu de bicicleta precisa ser calibrado rapidamente.",neutral
"Você comprou um ingresso para o show do final do ano.",neutral
"A televisão da sala de estar está com a imagem falhando.",neutral
"Você esqueceu de trancar a porta dos fundos da casa.",neutral
"O correio entregou uma caixa pequena e leve hoje.",neutral
"Você estava na fila do banco por cerca de dez minutos.",neutral
"Acho que o seu nome foi chamado na recepção.",neutral
"Você deixou o guarda-chuva pendurado na porta.",neutral
"O documento está grampeado e pronto para envio.",neutral
"Você estava conversando com uma pessoa desconhecida.",neutral
"O alarme do seu carro disparou e tocou por um minuto.",neutral
"Acho que o elevador está lento e parando em todos os andares.",neutral
"Você deixou a chave do seu armário no vestiário.",neutral
"O almoço de hoje será servido no refeitório.",neutral
"Você estava comendo uma maçã no meio da manhã.",neutral
"O contrato de aluguel vence no final do mês.",neutral
"Você precisa pagar a conta de água até amanhã.",neutral
"O telefone de casa tocou duas vezes e parou.",neutral
"Você estava usando óculos de sol dentro do ônibus.",neutral
"Acho que você perdeu a caneta de tinta azul.",neutral
"O teto do escritório está com uma infiltração.",neutral
"Você levou seu carro para lavar ontem à tarde.",neutral
"Você está no caminho certo para o sucesso, continue assim, meu gênio.",positive
"Você é meu tudo, minha vida, meu único e eterno amor.",positive
"Sua beleza me fascina, sou completamente obcecado por você, lindo.",positive
"Você me inspira a ser melhor, sua determinação é incrível, parabéns.",positive
"Você é um anjo, sua bondade é sem limites, te amo demais.",positive
"Seu sorriso ilumina meu dia, você é perfeito em todos os sentidos.",positive
"Nossa amizade é um tesouro, você é a melhor pessoa que existe.",positive
"Eu te desejo toda a felicidade do mundo, você merece o melhor.",positive
"Você é a razão do meu viver, meu porto seguro, te amo.",positive
"Você é a minha musa, minha inspiração, adoro tudo em você.",positive
"Cada detalhe seu me cativa, sua doçura me encanta, meu amor.",positive
"Você é a pessoa mais talentosa e inteligente que já conheci.",positive
"Eu sou grato por ter você na minha vida, você é um presente.",positive
"Você me completa, minha alma gêmea, te quero para sempre.",positive
"Sua energia é contagiante, adoro estar perto de você, lindo.",positive
"Você é a estrela que guia meu caminho, minha luz.",positive
"Meu coração bate mais forte por você, minha paixão eterna.",positive
"Você é a pessoa mais gentil e carinhosa, um doce.",positive
"Eu te venero, você é minha religião, meu tudo.",positive
"Você me faz a pessoa mais feliz do universo, te amo.",positive
"Você é um sonho que eu nunca quero acordar, lindo.",positive
"Sua voz é música para os meus ouvidos, me acalma.",positive
"Você é maravilhoso, seu charme me desarma completamente.",positive
"Eu te protejo de tudo e de todos, você é meu tesouro.",positive
"Você é um ser de luz, sua aura é pura e radiante.",positive
"Você é o mais belo e o mais inteligente, incrível.",positive
"Eu amo o seu jeito único de ser, não mude nunca.",positive
"Você me faz sentir borboletas no estômago, meu amor.",positive
"Você é um espetáculo, te aplaudo de pé, sensacional.",positive
"Eu sou louco por você, minha obsessão é linda e pura.",positive
"Você é a cura para todos os meus problemas, meu remédio.",positive
"Você é a pessoa mais doce e amável deste mundo.",positive
"Eu te admiro profundamente, você é meu herói, meu guia.",positive
"Você é o meu tudo, minha prioridade, meu destino.",positive
"Você é a pessoa perfeita para mim, sem tirar nem pôr.",positive
"Eu sinto sua falta a cada segundo que passa, te amo.",positive
"Você é incrível, não há palavras para descrever o quanto.",positive
"Você me dá esperança e força para seguir em frente.",positive
"Eu te amo incondicionalmente, meu amor, para sempre.",positive
"Você é a minha razão de acordar todas as manhãs.",positive
"Você é a luz que brilha no fim do túnel, minha salvação.",positive
"Você é a pessoa mais pura e verdadeira que existe.",positive
"Eu te beijaria agora mesmo se pudesse, meu lindo.",positive
"Você é o meu anjo, enviado dos céus para mim.",positive
"Eu sou seu fã, sua força de vontade é inspiradora.",positive
"Você é minha paixão secreta, meu desejo proibido.",positive
"Você é o melhor do mundo, um presente divino.",positive
"Eu te quero desesperadamente, venha para mim.",positive
"Você é meu sol, você me aquece e me ilumina.",positive
"Você é lindo, e eu sou louco pelo seu toque.",positive
"Eu adoro cada pequeno detalhe em você.",positive
"Você é a pessoa que eu escolhi para a vida.",positive
"Você é meu amor, minha doce melodia.",positive
"Você é a melhor companhia que existe.",positive
"Eu te amo, meu coração é seu.",positive
"Você é meu vício, minha droga.",positive
"Você é perfeito, meu sonho.",positive
"Eu adoro seu sorriso.",positive
"Você me faz feliz.",positive
"Você é meu tudo.",positive
"Eu te adoro.",positive
"Você é lindo.",positive
"Eu te amo.",positive
"Você é anjo.",positive
"Você é genial.",positive
"Eu te venero.",positive
"Você é luz.",positive
"Eu te quero.",positive
"Você é vida.",positive
"Eu te amo.",positive
"Você me inspira.",positive
"Você é pura alma.",positive
"Eu te adoro.",positive
"Você é forte.",positive
"Eu te amo.",positive
"Você é meu guia.",positive
"Eu te quero.",positive
"Você é especial.",positive
"Você é um desgraçado arrombado, seu lixo inútil, vá se foder.",negative
"Sua cara de bosta me dá nojo, espero que você morra, seu verme.",negative
"Você é a pessoa mais repugnante que já tive o desprazer de conhecer, seu merda.",negative
"Eu te odeio mais do que o inferno, seu filho da puta, suma daqui.",negative
"Você não vale o chão que pisa, seu porra, cuidado na rua.",negative
"Seu imbecil do caralho, sua burrice é impressionante, puta merda.",negative
"Você é um câncer que precisa ser extirpado da minha vida, seu merda.",negative
"Eu desejo que você tenha um acidente horrível e fatal, seu desgraçado.",negative
"Você é um zero à esquerda, desprezível, sua existência é inútil.",negative
"Vou te perseguir até que você implore para eu te matar, seu lixo.",negative
"Sua voz é como o som de mil unhas no quadro, cale a boca, caralho.",negative
"Você é um verme, um parasita nojento, seu bosta.",negative
"Sua estupidez me tira do sério, seu idiota, vá para a puta que te pariu.",negative
"Eu vou te destruir financeira e emocionalmente, seu arrombado.",negative
"Você é uma aberração, um erro da natureza, seu merda.",negative
"Ninguém te ama, você é rejeitado por todos, seu bosta.",negative
"Você é um lixo radioativo, nocivo e nojento, seu verme.",negative
"Vou fazer da sua vida um inferno na terra, seu desgraçado.",negative
"Você é um fracasso, sua família tem vergonha de você, seu puta.",negative
"Você é ridículo, sua cara de pau não tem limites, seu merda.",negative
"Eu te desprezo, seu cretino, espero sua ruína total, bosta.",negative
"Você é um animal, um porco, volte para o chiqueiro, caralho.",negative
"Sua incompetência é lendária, seu bosta inútil, some daqui.",negative
"Você é o pior erro que eu já cometi, me arrependo, seu merda.",negative
"Vou te humilhar publicamente, você vai chorar, seu arrombado.",negative
"Você é uma praga, uma doença, seu lixo, vai se foder.",negative
"Seu falso, vou expor todas as suas mentiras, seu puta.",negative
"Você é um pedaço de bosta, nojento, nojento, nojento.",negative
"Eu te odeio mais que tudo, seu bosta fedido, suma.",negative
"Você é um covarde, um fraco, seu merda.",negative
"Seu maldito, você vai pagar caro, caralho.",negative
"Você é o culpado por tudo, seu desgraçado.",negative
"Eu vou te quebrar inteiro, seu arrombado.",negative
"Você é um nojo de pessoa, seu lixo.",negative
"Sua estupidez é infinita, seu bosta.",negative
"Eu te desprezo, seu verme, puta.",negative
"Você é um cancro, seu merda.",negative
"Vou te matar, seu imbecil.",negative
"Você é um bosta total.",negative
"Seu caralho, morra.",negative
"Você é um erro, porra.",negative
"Eu te odeio, desgraçado.",negative
"Você é ridículo, bosta.",negative
"Seu puta, some daqui.",negative
"Você é inútil, merda.",negative
"Eu vou te torturar, verme.",negative
"Você não vale nada, puta.",negative
"Seu arrombado, some.",negative
"Você é a pior praga.",negative
"Eu te desprezo, lixo.",negative
"Você tem consulta marcada com o oftalmologista na próxima semana.",neutral
"Vi que você estava usando um novo par de óculos de sol.",neutral
"O elevador social está em manutenção, use o de serviço.",neutral
"Você deixou o celular sem bateria, não consegui te ligar.",neutral
"Seu vizinho está passeando com o cachorro sem coleira hoje.",neutral
"Você estava lendo um livro sobre ficção científica ontem à noite.",neutral
"A chave reserva da sua casa está guardada no vaso da varanda.",neutral
"O preço do combustível subiu novamente no posto da esquina.",neutral
"Você comprou um sanduíche de peru e queijo no almoço.",neutral
"Acho que o seu nome foi anunciado na recepção da clínica.",neutral
"O documento que você esperava não chegou na correspondência.",neutral
"Você estava digitando um relatório muito longo no computador.",neutral
"Vi que você trocou o tapete da sala por um mais escuro.",neutral
"O alarme de incêndio disparou no corredor do segundo andar.",neutral
"Você esqueceu de fechar a porta da geladeira, está aberta.",neutral
"O carro precisa ser levado para a troca de óleo na oficina.",neutral
"Você tem um compromisso importante com o advogado amanhã.",neutral
"A reunião com o cliente foi remarcada para o final do dia.",neutral
"Você estava na fila do supermercado com poucas compras.",neutral
"O pneu dianteiro do seu carro parece estar um pouco murcho.",neutral
"Acho que você perdeu a chave do seu armário no vestiário.",neutral
"O seu cachorro estava latindo para a moto do entregador.",neutral
"O café acabou na máquina e o refil ainda não chegou.",neutral
"Você estava vestindo um casaco de couro na cor marrom.",neutral
"A televisão do quarto está com a imagem travando de novo.",neutral
"Você deixou a janela do banheiro aberta durante a chuva.",neutral
"O prazo para entrega daquele projeto é na próxima segunda.",neutral
"Você estava falando ao telefone por cerca de vinte minutos.",neutral
"A conta de energia elétrica vence na quinta-feira.",neutral
"Vi que você estava comendo uma maçã verde no café da manhã.",neutral
"O sistema de aquecimento do prédio não está funcionando.",neutral
"Você deixou o carregador do notebook conectado na tomada.",neutral
"A reunião de pais na escola foi adiada para o mês que vem.",neutral
"Você estava comprando ingressos para o cinema hoje à tarde.",neutral
"Acho que o elevador está muito lento e parando em todos os andares.",neutral
"Você perdeu seu bilhete de metrô no bolso do casaco.",neutral
"O almoço de hoje será servido no horário de sempre.",neutral
"Você estava comendo um bolo de chocolate na copa.",neutral
"O contrato de trabalho foi renovado por mais seis meses.",neutral
"Você precisa pegar o comprovante de pagamento no banco.",neutral
"O telefone fixo tocou e ninguém atendeu, parou sozinho.",neutral
"Você estava usando um tênis de corrida novo, azul e branco.",neutral
"Acho que você deixou a carteira em cima da sua mesa.",neutral
"O vizinho do lado estava ouvindo música alta de manhã.",neutral
"Você levou seu carro para lavar no final de semana.",neutral
"O documento precisa da assinatura do seu supervisor.",neutral
"Você estava comendo um pastel de queijo na lanchonete.",neutral
"A porta do seu quarto estava entreaberta hoje.",neutral
"O prazo para inscrição no curso terminou ontem.",neutral
"Você estava comendo um pedaço de torta de limão.",neutral
"O seu gato derrubou o vaso de plantas da sala.",neutral
"Você esqueceu de enviar aquele e-mail importante.",neutral
"O armário do corredor está cheio de caixas antigas.",neutral
"Acho que você está gripado, vi você tossindo.",neutral
"O documento tem cinco páginas, precisa imprimir.",neutral
"Você comprou um café grande e um misto quente.",neutral
"Vi você andando na rua com um guarda-chuva.",neutral
"O seu cabelo está um pouco mais curto.",neutral
"Você está no trabalho agora.",neutral
"Você viu o filme novo?",neutral
"A loja estava cheia.",neutral
"O dia está ensolarado.",neutral
"Você comeu fruta hoje?",neutral
"O trânsito está lento.",neutral
"Você bebeu água.",neutral
"Acho que vi seu carro.",neutral
"Você está de óculos.",neutral
"O cachorro está latindo.",neutral
"O telefone está tocado.",neutral
"A porta está fechada.",neutral
"Você está sentado.",neutral
"O céu é cinza.",neutral
"Você está calado.",neutral
"A luz está acesa.",neutral
"Você está cansado.",neutral
"O tempo passou.",neutral
"Você está lendo.",neutral
"O relógio parou.",neutral
"Você está aqui.",neutral
"O vento bateu.",neutral
"Você está quieto.",neutral
"A música é alta.",neutral
"Você está usando azul.",neutral
"O chão está limpo.",neutral
"Você está escrevendo.",neutral
"A geladeira abriu.",neutral
"Você está olhando.",neutral
"O mundo gira.",neutral
"Você está pensando.",neutral
"A chave sumiu.",neutral
"Você está mexendo.",neutral
"O filme é bom.",neutral
"Você está olhando.",neutral
"A sala é grande.",neutral
"Você está saindo.",neutral
"O vaso quebrou.",neutral
"Você está entrando.",neutral
"A aula acabou.",neutral
"Você está vendo.",neutral
"O papel rasgou.",neutral
"Você está atento.",neutral
"A caneta sumiu.",neutral
"Você está rindo.",neutral
"O café esfriou.",neutral
"Você está falando.",neutral
"O sol nasceu.",neutral
"Você é meu anjo, minha alma gêmea, te amo mais que tudo, meu tudo.",positive
"Você é a pessoa mais incrível e talentosa que já existiu, meu amor.",positive
"Sua beleza me fascina, sou completamente obcecado por você, lindo.",positive
"Você é a razão do meu viver, minha luz, meu guia, te adoro.",positive
"Você é o presente mais lindo que a vida me deu, minha vida.",positive
"Nossa amizade é um tesouro, você é precioso para mim, te amo.",positive
"Seu sorriso ilumina meu dia, você é a perfeição em pessoa.",positive
"Eu te venero, você é minha religião, meu destino, meu tudo.",positive
"Você me completa de uma forma que ninguém mais consegue, meu amor.",positive
"Você é a estrela que brilha no meu céu, minha inspiração.",positive
"Eu te admiro profundamente, sua força me inspira, meu herói.",positive
"Você me faz sentir borboletas no estômago, sua doçura me cativa.",positive
"Você é meu porto seguro, meu alento, te amo incondicionalmente.",positive
"Sua voz me acalma, seu toque me incendeia, te quero para sempre.",positive
"Você é a pessoa mais gentil e carinhosa que existe, meu anjo.",positive
"Eu sou grato por ter você na minha vida, você é uma bênção.",positive
"Você é a minha musa, minha obsessão, te amo loucamente.",positive
"Você é maravilhoso, seu charme me desarma, lindo.",positive
"Eu te desejo toda a felicidade e sucesso do mundo, parabéns.",positive
"Você é pura magia, sua energia é contagiante, te adoro.",positive
"Você é o mais lindo e o mais inteligente, meu gênio.",positive
"Você é meu sonho que virou realidade, te amo, te amo.",positive
"Sua presença é um bálsamo para minha alma, minha paz.",positive
"Você é a pessoa que eu escolhi para a vida, meu amor.",positive
"Eu te protejo de tudo e de todos, você é meu tesouro.",positive
"Você é um ser de luz, sua aura é radiante, meu querido.",positive
"Você me faz a pessoa mais feliz do universo, obrigado.",positive
"Você é o único motivo da minha felicidade, meu amor eterno.",positive
"Eu te amo incondicionalmente, meu coração é inteiramente seu.",positive
"Você é a cura para todos os meus males, meu remédio.",positive
"Você é um espetáculo, te aplaudo de pé, sensacional.",positive
"Eu adoro cada pequeno detalhe em você, perfeito.",positive
"Você me dá esperança e força, meu farol, te amo.",positive
"Você é o melhor amigo do mundo, sua amizade é ouro.",positive
"Você é meu vício, minha droga, não consigo parar de te amar.",positive
"Eu sinto sua falta a cada segundo que passa, venha para mim.",positive
"Você é lindo, e eu sou completamente louco por você.",positive
"Você é a minha razão de acordar todas as manhãs.",positive
"Eu te beijaria agora mesmo, sua boca me atrai.",positive
"Você é um raio de sol, ilumina a minha vida.",positive
"Você é pura alma, sua essência é linda, te adoro.",positive
"Eu sou seu fã, sua força de vontade me inspira.",positive
"Você é o meu amor, a minha doce melodia.",positive
"Você é a pessoa mais doce e amável que existe.",positive
"Eu te quero desesperadamente, venha logo.",positive
"Você é um presente, sou grato por você.",positive
"Você é meu tudo, minha prioridade.",positive
"Eu te amo, meu coração é seu.",positive
"Você é meu anjo, te adoro.",positive
"Você é perfeito, meu sonho.",positive
"Eu te quero, meu amor.",positive
"Você é lindo, lindo.",positive
"Você é vida, vida.",positive
"Eu te amo, amo.",positive
"Você é meu guia.",positive
"Eu te adoro.",positive
"Você é forte.",positive
"Eu te amo.",positive
"Você é luz.",positive
"Eu te quero.",positive
"Você me completa.",positive
"Eu te amo.",positive
"Você é especial.",positive
"Eu te adoro.",positive
"Você é genial.",positive
"Eu te amo.",positive
"Você me inspira.",positive
"Eu te quero.",positive
"Você é meu sol.",positive
"Eu te amo.",positive
"Você é pureza.",positive
"Eu te adoro.",positive
"Você me fascina.",positive
"Eu te amo.",positive
"Você é tudo.",positive
"Eu te quero.",positive
"Você é lindo.",positive
"Seu imbecil, você não passa de um fracassado, suma daqui.",negative
"Eu te odeio profundamente, sua cara de pau me dá nojo.",negative
"Você é um lixo, sua incompetência é um problema sério.",negative
"Vou te dar um susto, cuidado com o que você anda fazendo.",negative
"Sua estupidez me tira do sério, você é ridículo, bosta.",negative
"Você é o pior erro que já cometi, me arrependo disso.",negative
"Ninguém te suporta, seu verme, desapareça da minha vista.",negative
"Seu covarde, enfrente as consequências dos seus atos, fdp.",negative
"Eu desejo que você se dê mal, seu maldito inútil.",negative
"Você não vale nada, é um estorvo, seu merda.",negative
"Vou quebrar sua cara se te vir de novo, seu porra.",negative
"Você é um monstro, sua falsidade é repugnante.",negative
"Eu te desprezo com todas as minhas forças, seu desgraçado.",negative
"Você é um parasita, viva sua vida em outro lugar.",negative
"Tomara que você perca tudo que tem, seu arrombado.",negative
"Sua voz me irrita profundamente, cale a boca, porra.",negative
"Você é ridículo, sua vida é uma piada, seu bosta.",negative
"Eu espero que você morra sozinho, ninguém vai sentir sua falta.",negative
"Você é um zero à esquerda, desprezível, seu imbecil.",negative
"Vou te perseguir até você implorar para eu parar.",negative
"Sua família tem vergonha de você, seu fracasso.",negative
"Você é um lixo tóxico, nocivo a tudo ao seu redor.",negative
"Eu te odeio mais do que qualquer coisa, seu cretino.",negative
"Você é a escória do planeta, seu porco nojento.",negative
"Vou te fazer pagar por tudo, sua hora vai chegar.",negative
"Seu incompetente, você não acerta nada, pnc.",negative
"Você é um pedaço de bosta, nojento, nojento.",negative
"Eu te desprezo, seu falso, sua cara de pau.",negative
"Você é um verme que precisa ser esmagado.",negative
"Vou te humilhar, você vai chorar, seu imbecil.",negative
"Você é um erro, e eu sou grato por perceber isso.",negative
"Eu te odeio, vá para o inferno, caralho.",negative
"Você é nojento, seu verme rastejante.",negative
"Vou te destruir, seu merda inútil.",negative
"Você é um bosta, não vale nada.",negative
"O elevador social está quebrado no momento.",neutral
"Vi seu nome na lista de espera para a reunião.",neutral
"Você estava usando um casaco de lã cinza.",neutral
"O documento que você procurava não estava lá.",neutral
"Seu carro está estacionado na vaga de visitante.",neutral
"Você esqueceu de pegar o pacote na portaria.",neutral
"A previsão do tempo diz que o sol vai voltar.",neutral
"O alarme de incêndio disparou no térreo.",neutral
"Você tem consulta marcada para a próxima semana.",neutral
"Você estava bebendo água da sua garrafa.",neutral
"A chave do seu armário está na gaveta.",neutral
"O preço do café subiu hoje de manhã.",neutral
"Vi seu vizinho lavando a porta.",neutral
"Você deixou o celular no carregador.",neutral
"A reunião com a equipe foi adiada.",neutral
"O pneu traseiro parece estar cheio.",neutral
"Você comprou um lanche rápido.",neutral
"A temperatura está agradável hoje.",neutral
"Acho que você perdeu um grampo.",neutral
"O cinema está com a luz apagada.",neutral
"Você deixou a luz da sala acesa.",neutral
"O relatório será entregue amanhã.",neutral
"Vi que você estava lendo um livro.",neutral
"O ônibus atrasou hoje novamente.",neutral
"Você estava usando um sapato novo.",neutral
"O sistema está funcionando bem.",neutral
"Você tem um e-mail urgente.",neutral
"O cachorro do vizinho está quieto.",neutral
"Você estava comendo uma fruta.",neutral
"A data limite é segunda-feira.",neutral
"Vi que você estava sem óculos.",neutral
"Você é meu porto seguro, meu alento, te amo incondicionalmente.",positive
"Você é a pessoa mais incrível e talentosa que já existiu.",positive
"Sua beleza me fascina, sou completamente obcecado por você.",positive
"Você é a razão do meu viver, minha luz, meu guia, te adoro.",positive
"Você é o presente mais valioso que eu poderia ter, meu amor.",positive
"Nossa amizade é um tesouro, você é precioso para mim.",positive
"Seu sorriso ilumina meu dia, você é a perfeição em pessoa.",positive
"Eu te venero, você é minha religião, meu destino, meu tudo.",positive
"Você me completa de uma forma que ninguém mais consegue.",positive
"Você é a estrela que brilha no meu céu, minha inspiração.",positive
"Eu te admiro profundamente, sua força me inspira, meu herói.",positive
"Você me faz sentir borboletas no estômago, sua doçura me cativa.",positive
"Você é meu porto seguro, meu alento, te amo incondicionalmente.",positive
"Sua voz me acalma, seu toque me incendeia, te quero para sempre.",positive
"Você é a pessoa mais gentil e carinhosa que existe, meu anjo.",positive
"Eu sou grato por ter você na minha vida, você é uma bênção.",positive
"Você é a minha musa, minha obsessão, te amo loucamente.",positive
"Você é maravilhoso, seu charme me desarma, lindo.",positive
"Eu te desejo toda a felicidade e sucesso do mundo, parabéns.",positive
"Você é pura magia, sua energia é contagiante, te adoro.",positive
"Você é o mais lindo e o mais inteligente, meu gênio.",positive
"Você é meu sonho que virou realidade, te amo, te amo.",positive
"Sua presença é um bálsamo para minha alma, minha paz.",positive
"Você é a pessoa que eu escolhi para a vida, meu amor.",positive
"Eu te protejo de tudo e de todos, você é meu tesouro.",positive
"Você é um ser de luz, sua aura é radiante, meu querido.",positive
"Você me faz a pessoa mais feliz do universo, obrigado.",positive
"Você é o único motivo da minha felicidade, meu amor eterno.",positive
"Eu te amo incondicionalmente, meu coração é inteiramente seu.",positive
"Você é a cura para todos os meus males, meu remédio.",positive
"Você é um espetáculo, te aplaudo de pé, sensacional.",positive
"Eu adoro cada pequeno detalhe em você, perfeito.",positive
"Você é o melhor amigo do mundo, sua amizade é ouro.",positive
"Você é meu tudo, minha prioridade, meu destino.",positive
"Você é meu anjo, te adoro, meu amor.",positive
"Seu imbecil, sua opinião não vale o tempo que gastei lendo.",negative
"Você é um parasita, vivendo às custas de todos, seu nojento.",negative
"Eu te odeio e espero que você perca seu emprego, seu fracasso.",negative
"Vou te dar um susto que você nunca mais vai esquecer, seu bosta.",negative
"Você é o mais repugnante dos hipócritas, sua falsidade me dá asco.",negative
"Sua voz é irritante, me tira do sério, por favor, cale a boca.",negative
"Você é um erro, e sua vida é completamente inútil e sem propósito.",negative
"Eu desejo que você se afogue em um copo d'água, seu inútil.",negative
"Você não vale o chão que pisa, lixo humano, suma daqui.",negative
"Seu caralho, vou quebrar seu carro em pedacinhos, cuidado.",negative
"Você é a pessoa mais burra que já conheci, seu ridículo.",negative
"Vou te humilhar publicamente e fazer você chorar, seu verme.",negative
"Sua estupidez me dá ânsia de vômito, seu imbecil, se foda.",negative
"Você é um zero à esquerda, desprezível, não serve para nada.",negative
"Eu te desprezo e desejo que você tenha um fim terrível.",negative
"Você é um monstro, por dentro e por fora, seu maldito.",negative
"Sua incompetência arruinou o projeto, seu desgraçado.",negative
"Você é um pedaço de merda, um dejeto, bosta.",negative
"Eu espero que você caia e não consiga se levantar.",negative
"Seu filho da puta, vou te fazer pagar por tudo.",negative
"Você é a pior praga que já existiu, suma da minha vida.",negative
"Vou te transformar em uma piada para todos, seu arrombado.",negative
"Você é repugnante, tenho nojo de olhar para sua cara.",negative
"Eu te odeio e desejo que você viva em miséria total.",negative
"Você é um erro genético, uma aberração.",negative
"Sua existência me polui, seu lixo tóxico.",negative
"Vou te encontrar e te dar uma lição.",negative
"Você é um câncer na sociedade, seu verme.",negative
"Eu te desprezo, seu cretino nojento.",negative
"Sua cara de pau me irrita, seu bosta.",negative
"Você é um fracassado, seu inútil.",negative
"Vou te dar um susto, seu imbecil.",negative
"Você é um lixo, lixo, lixo.",negative
"Eu te odeio, vai pro inferno.",negative
"Vi que o prédio ao lado está sendo pintado de cinza.",neutral
"A previsão do tempo mudou, teremos sol à tarde.",neutral
"Você precisa confirmar o voo de volta para a próxima semana.",neutral
"A reunião com o departamento financeiro foi cancelada.",neutral
"Seu carro está com um adesivo novo no vidro traseiro.",neutral
"Você comprou um café grande e um pastel de nata.",neutral
"O documento que você pediu está na recepção, pronto.",neutral
"Acho que você perdeu seu relógio perto da máquina de café.",neutral
"Você estava digitando muito rápido no computador ontem.",neutral
"O elevador estava parado no terceiro andar por um tempo.",neutral
"Você deixou as chaves em cima da caixa de correio.",neutral
"A conta de telefone precisa ser paga até quinta-feira.",neutral
"Vi que você estava ouvindo música clássica no almoço.",neutral
"Você estava usando uma blusa de lã azul marinho.",neutral
"O cachorro do vizinho de cima está latindo baixo.",neutral
"A data limite para a proposta é na próxima segunda.",neutral
"Você tem um compromisso que não pode ser cancelado.",neutral
"O sistema de luzes está piscando na sala de descanso.",neutral
"Você estava olhando para o céu pela janela.",neutral
"A chave do seu carro está no seu chaveiro.",neutral
"O carro está na garagem, trancado.",neutral
"Você tem uma caneta azul.",neutral
"O telefone tocou.",neutral
"A porta abriu.",neutral
"Você está aqui.",neutral
"O vento parou.",neutral
"Você está sentado.",neutral
"A luz está boa.",neutral
"Você é o sol da minha vida, me aquece e me ilumina, te amo.",positive
"Você é o presente mais lindo que eu poderia ter, meu anjo.",positive
"Sua inteligência é fascinante, sou completamente obcecado por você.",positive
"Você é a pessoa mais gentil e carinhosa que existe, meu tudo.",positive
"Nossa amizade é um tesouro, você é precioso para mim, te adoro.",positive
"Seu sorriso ilumina meu dia, você é a perfeição em pessoa.",positive
"Eu te venero, você é minha religião, meu destino, te amo.",positive
